n	x	y	z	name
0	48	94	35	Frontal Pole
1	25	70	32	Insular Cortex
2	33	73	63	Superior Frontal Gyrus
3	25	72	55	Middle Frontal Gyrus
4	20	77	40	Inferior Frontal Gyrus, pars triangularis
5	20	71	47	Inferior Frontal Gyrus, pars opercularis
6	44	51	68	Precentral Gyrus
7	61	69	17	Temporal Pole
8	73	59	32	Superior Temporal Gyrus, anterior division
9	75	52	35	Superior Temporal Gyrus, posterior division
10	74	59	26	Middle Temporal Gyrus, anterior division
11	14	51	30	Middle Temporal Gyrus, posterior division
12	72	35	38	Middle Temporal Gyrus, temporooccipital part
13	22	61	16	Inferior Temporal Gyrus, anterior division
14	70	42	26	Inferior Temporal Gyrus, posterior division
15	70	35	29	Inferior Temporal Gyrus, temporooccipital part
16	52	42	69	Postcentral Gyrus
17	28	39	63	Superior Parietal Lobule
18	73	48	53	Supramarginal Gyrus, anterior division
19	72	39	51	Supramarginal Gyrus, posterior division
20	21	37	55	Angular Gyrus
21	60	28	57	Lateral Occipital Cortex, superior division
22	68	28	38	Lateral Occipital Cortex, inferior division
23	47	23	40	Intracalcarine Cortex
24	45	84	27	Frontal Medial Cortex
25	45	63	63	Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
26	46	74	27	Subcallosal Cortex
27	45	80	52	Paracingulate Gyrus
28	45	61	57	Cingulate Gyrus, anterior division
29	44	42	54	Cingulate Gyrus, posterior division
30	45	31	55	Precuneous Cortex
31	45	23	49	Cuneal Cortex
32	25	77	29	Frontal Orbital Cortex
33	57	62	18	Parahippocampal Gyrus, anterior division
34	58	45	28	Parahippocampal Gyrus, posterior division
35	41	22	33	Lingual Gyrus
36	62	61	15	Temporal Fusiform Cortex, anterior division
37	64	47	24	Temporal Fusiform Cortex, posterior division
38	62	37	29	Temporal Occipital Fusiform Cortex
39	33	23	30	Occipital Fusiform Gyrus
40	66	74	37	Frontal Operculum Cortex
41	19	61	40	Central Opercular Cortex
42	17	50	47	Parietal Operculum Cortex
43	20	60	36	Planum Polare
44	67	52	39	Heschl's Gyrus (includes H1 and H2)
45	74	53	40	Planum Temporale
46	44	21	42	Supracalcarine Cortex
47	37	15	34	Occipital Pole